Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Package ID,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan or Purchase Option ID,Offer ID,Group ID,First USD 1M Eligible,Service Fee %,Fee Description,Promotion ID,Sales Channel
GPA.3342-4677-1106-53000,"Jul 31, 2026",1:45:16 AM PDT,,Charge,,Chaos Magick Sigil Forge !,com.app.goetiansealsgeneratorapp,Paid app,,r0q,US,KY,40403,USD,3.99,1.000000,USD,3.99,,,4993951633197654550,Yes,,,,Play store
GPA.3342-4677-1106-53000,"Jul 31, 2026",1:45:16 AM PDT,,Google fee,,Chaos Magick Sigil Forge !,com.app.goetiansealsgeneratorapp,Paid app,,r0q,US,KY,40403,USD,-0.60,1.000000,USD,-0.60,,,4993951633197654550,Yes,15,,,Play store
GPA.3342-4677-1106-53000,"Jul 31, 2026",1:45:16 AM PDT,Colombia VAT,Tax,,Chaos Magick Sigil Forge !,com.app.goetiansealsgeneratorapp,Paid app,,r0q,US,KY,40403,USD,-0.11,1.000000,USD,-0.11,,,4993951633197654550,Yes,,,,Play store
GPA.3393-6909-8452-33401,"Jul 31, 2026",8:57:57 AM PDT,,Charge,,NOCTEM Tools: Ghost Hunting,com.cha0smagicklabs.noctemapp,Paid app,,a35x,GB,,FY8 5AR,GBP,11.24,1.340800,USD,15.07,,,4993951633197654550,Yes,,,,Play store
GPA.3393-6909-8452-33401,"Jul 31, 2026",8:57:57 AM PDT,,Google fee,,NOCTEM Tools: Ghost Hunting,com.cha0smagicklabs.noctemapp,Paid app,,a35x,GB,,FY8 5AR,GBP,-1.69,1.340800,USD,-2.27,,,4993951633197654550,Yes,15,,,Play store
GPA.3393-6909-8452-33401,"Jul 31, 2026",9:13:25 AM PDT,,Charge refund,Full,NOCTEM Tools: Ghost Hunting,com.cha0smagicklabs.noctemapp,Paid app,,a35x,GB,,FY8 5AR,GBP,-11.24,1.340800,USD,-15.07,,,4993951633197654550,Yes,,,,Play store
GPA.3393-6909-8452-33401,"Jul 31, 2026",9:13:25 AM PDT,,Google fee refund,Full,NOCTEM Tools: Ghost Hunting,com.cha0smagicklabs.noctemapp,Paid app,,a35x,GB,,FY8 5AR,GBP,1.69,1.340800,USD,2.27,,,4993951633197654550,Yes,15,,,Play store
GPA.3313-1379-4695-82160,"Jul 31, 2026",3:01:20 PM PDT,,Charge,,I Ching Oracle Divination,com.app.ichingoracle,Paid app,,ellis,US,PA,15235,USD,3.99,1.000000,USD,3.99,,,4993951633197654550,Yes,,,,Play store
GPA.3313-1379-4695-82160,"Jul 31, 2026",3:01:20 PM PDT,,Google fee,,I Ching Oracle Divination,com.app.ichingoracle,Paid app,,ellis,US,PA,15235,USD,-0.60,1.000000,USD,-0.60,,,4993951633197654550,Yes,15,,,Play store
GPA.3313-1379-4695-82160,"Jul 31, 2026",3:01:20 PM PDT,Colombia VAT,Tax,,I Ching Oracle Divination,com.app.ichingoracle,Paid app,,ellis,US,PA,15235,USD,-0.12,1.000000,USD,-0.12,,,4993951633197654550,Yes,,,,Play store
GPA.3364-8937-9571-82834,"Jul 31, 2026",9:41:58 PM PDT,,Charge,,Chaos Magick Sigil Forge !,com.app.goetiansealsgeneratorapp,Paid app,,e2q,US,MN,55112,USD,3.99,1.000000,USD,3.99,,,4993951633197654550,Yes,,,,Play store
GPA.3364-8937-9571-82834,"Jul 31, 2026",9:41:58 PM PDT,,Google fee,,Chaos Magick Sigil Forge !,com.app.goetiansealsgeneratorapp,Paid app,,e2q,US,MN,55112,USD,-0.60,1.000000,USD,-0.60,,,4993951633197654550,Yes,15,,,Play store
GPA.3364-8937-9571-82834,"Jul 31, 2026",9:41:58 PM PDT,Colombia VAT,Tax,,Chaos Magick Sigil Forge !,com.app.goetiansealsgeneratorapp,Paid app,,e2q,US,MN,55112,USD,-0.11,1.000000,USD,-0.11,,,4993951633197654550,Yes,,,,Play store
